Rank,amfi_code,scheme_name,Alpha,Beta
1,119598,SBI Small Cap Fund - Regular Plan - Growth,0.3034,-0.0232
2,149324,DSP Small Cap Fund - Regular - Growth,0.3006,0.0115
3,120505,ICICI Pru Midcap Fund - Regular - Growth,0.2926,0.0005
4,148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.2827,0.0181
5,120843,Kotak Flexicap Fund - Regular - Growth,0.2733,-0.0228
6,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.272,0.0051
7,148567,Mirae Asset Large Cap Fund - Regular - Growth,0.2698,0.0237
8,149323,DSP Midcap Fund - Regular - Growth,0.266,-0.0025
9,119094,Axis Midcap Fund - Regular - Growth,0.2608,-0.0663
10,119551,SBI Bluechip Fund - Regular Plan - Growth,0.232,-0.0318
11,118632,Nippon India Large Cap Fund - Regular - Growth,0.2183,-0.0084
12,101206,ABSL Frontline Equity Fund - Regular - Growth,0.214,0.0211
13,120504,ICICI Pru Bluechip Fund - Direct - Growth,0.2119,0.0162
14,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.2087,-0.0264
15,119552,SBI Bluechip Fund - Direct Plan - Growth,0.1987,-0.0262
16,125497,HDFC Top 100 Fund - Direct Plan - Growth,0.1773,0.0488
17,120503,ICICI Pru Bluechip Fund - Regular - Growth,0.177,-0.0403
18,118634,Nippon India Small Cap Fund - Regular - Growth,0.175,0.1035
19,102885,UTI Nifty 50 Index Fund - Regular - Growth,0.1705,-0.0195
20,120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.1625,0.0419
21,102887,UTI Flexi Cap Fund - Regular - Growth,0.1621,0.0167
22,118633,Nippon India Large Cap Fund - Direct - Growth,0.1564,-0.0366
23,118635,Nippon India ETF Nifty 50 BeES,0.1514,-0.0014
24,149322,DSP Top 100 Equity Fund - Regular - Growth,0.1317,-0.0041
25,120841,Kotak Bluechip Fund - Regular - Growth,0.1304,0.0364
26,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.1199,0.0091
27,101207,ABSL Small Cap Fund - Regular - Growth,0.109,-0.0653
28,119093,Axis Bluechip Fund - Direct - Growth,0.0823,0.0259
29,120842,Kotak Emerging Equity Fund - Regular - Growth,0.078,0.0181
30,119092,Axis Bluechip Fund - Regular - Growth,0.069,0.0097
31,120507,ICICI Pru Liquid Fund - Regular - Growth,0.0675,-0.0004
32,120844,Kotak Liquid Fund - Regular - Growth,0.0646,-0.0004
33,101208,ABSL Liquid Fund - Regular - Growth,0.0609,0.0003
34,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.0562,-0.0064
35,118636,Nippon India Gilt Securities Fund - Regular - Growth,0.0507,0.0013
36,119599,SBI Small Cap Fund - Direct Plan - Growth,0.0488,0.062
37,119095,Axis Small Cap Fund - Regular - Growth,0.048,-0.067
38,100025,HDFC Short Term Debt Fund - Regular - Growth,0.0428,0.0012
39,100016,HDFC Top 100 Fund - Regular Plan - Growth,0.0375,-0.0583
40,102886,UTI Mid Cap Fund - Regular - Growth,0.029,-0.0421
